"X","zip_code","Count","Lat","Long"
0,60628,30381,41.690875,-87.615773
1,60644,28996,41.880084,-87.756373
2,60632,27499,41.810166,-87.713252
3,60652,26881,41.747932,-87.714795
4,60629,25890,41.775868,-87.711496
5,60620,25465,41.740497,-87.652558
6,60651,24638,41.902093,-87.740857
7,60649,23846,41.76342,-87.565879
8,60612,21985,41.88032,-87.687749
9,60645,21953,42.008558,-87.694735
10,60696,20341,41.8501,-87.65
11,60611,20336,41.8957,-87.613775
12,60614,19990,41.922714,-87.649577
13,60639,19704,41.920552,-87.756054
14,60622,19664,41.902172,-87.683337
15,60625,18550,41.973292,-87.700351
16,60647,16983,41.921215,-87.701028
17,60621,16950,41.776382,-87.639572
18,60613,16865,41.956949,-87.654272
19,60630,15662,41.972071,-87.756569
20,60605,15258,41.867566,-87.617228
21,60617,15078,41.718197,-87.552739
22,60643,14775,41.700273,-87.663267
23,60608,13730,41.84688,-87.670664
24,60661,12270,41.88303,-87.644101
25,60660,12107,41.99111,-87.663076
26,60634,11919,41.946189,-87.806117
27,60641,11509,41.946606,-87.746787
28,60607,10687,41.87493,-87.651596
29,60616,10334,41.844883,-87.624032
30,60619,9456,41.74369,-87.605526
31,60618,9455,41.946962,-87.702548
32,60640,9274,41.972872,-87.662604
33,60623,9122,41.848897,-87.717661
34,60615,8787,41.801647,-87.596288
35,60636,7962,41.775739,-87.669064
36,60637,7948,41.781621,-87.599876
37,60624,7664,41.880504,-87.724444
38,60653,7502,41.819962,-87.605984
39,60638,7402,41.78143,-87.77052
40,60707,7382,41.921853,-87.807282
41,60631,6246,41.994855,-87.813003
42,60609,6198,41.81268,-87.656935
44,60646,3357,41.993019,-87.759627
45,60655,3215,41.694776,-87.703777
46,60706,2924,41.964257,-87.816242
47,60827,2299,41.649434,-87.633572
48,60633,1948,41.663809,-87.56147
49,60666,1683,42.978324,-87.906354
