,ZIP Code,Count
0,60628,30381
1,60644,28996
2,60632,27499
3,60652,26881
4,60629,25890
5,60620,25465
6,60651,24638
7,60649,23846
8,60612,21985
9,60645,21953
10,60696,20341
11,60611,20336
12,60614,19990
13,60639,19704
14,60622,19664
15,60625,18550
16,60647,16983
17,60621,16950
18,60613,16865
19,60630,15662
20,60605,15258
21,60617,15078
22,60643,14775
23,60608,13730
24,60661,12270
25,60660,12107
26,60634,11919
27,60641,11509
28,60607,10687
29,60616,10334
30,60619,9456
31,60618,9455
32,60640,9274
33,60623,9122
34,60615,8787
35,60636,7962
36,60637,7948
37,60624,7664
38,60653,7502
39,60638,7402
40,60707,7382
41,60631,6246
42,60609,6198
43,60406,3968
44,60646,3357
45,60655,3215
46,60706,2924
47,60827,2299
48,60633,1948
49,60666,1683
